teamA,teamB,scoreA,scoreB,level
Askim,Koll,0,3,H0
NTNUI,Førde,1,3,H0
Tromsø,Randaberg,3,1,H0
OSI,Førde,1,3,H0
Viking,Askim,3,0,H0
Randaberg,Koll,1,3,H0
OSI,Tromsø,0,3,H0
TVN,Koll,0,3,H0
NTNUI,Tromsø,1,3,H0
Førde,Askim,3,0,H0
Randaberg,Viking,0,3,H0
Tromsø,Viking,2,3,H0
Førde,Koll,3,2,H0
OSI,Viking,2,3,H0
Randaberg,Førde,2,3,H0
Tromsø,Askim,3,0,H0
NTNUI,Viking,0,3,H0
TVN,Førde,0,3,H0
Koll,Askim,3,0,H0
TVN,Tromsø,3,2,H0
Viking,Førde,3,1,H0
Koll,NTNUI,3,1,H0
OSI,NTNUI,1,3,H0
Randaberg,Tromsø,2,3,H0
Askim,OSI,1,3,H0
Viking,Koll,1,3,H0
NTNUI,Randaberg,3,2,H0
Tromsø,Førde,0,3,H0
Askim,NTNUI,3,1,H0
OSI,Randaberg,3,0,H0
TVN,Viking,0,3,H0
OSI,Askim,3,0,H0
Førde,Randaberg,3,0,H0
Tromsø,Koll,1,3,H0
NTNUI,OSI,3,0,H0
Viking,Randaberg,3,0,H0
Tromsø,NTNUI,3,2,H0
Førde,OSI,3,0,H0
Koll,Randaberg,3,1,H0
Askim,Randaberg,0,3,H0
Viking,OSI,3,0,H0
Koll,OSI,3,0,H0
Randaberg,Askim,3,0,H0
Førde,Viking,2,3,H0
NTNUI,Koll,2,3,H0
TVN,Askim,3,1,H0
Askim,Tromsø,3,0,H0
Førde,NTNUI,3,0,H0
Randaberg,OSI,3,0,H0
TVN,OSI,3,2,H0
Koll,Tromsø,3,0,H0
Viking,NTNUI,3,0,H0
TVN,Randaberg,3,0,H0
Askim,Førde,0,3,H0
Tromsø,OSI,1,3,H0
Koll,Førde,3,2,H0
Askim,Viking,0,3,H0
TVN,NTNUI,3,2,H0
Koll,Viking,1,3,H0
Randaberg,NTNUI,3,1,H0
NTNUI,Askim,3,1,H0
Førde,Tromsø,3,0,H0
OSI,Koll,0,3,H0
Viking,Tromsø,3,0,H0
